TiSId;Índice;Ticker;Data;Cotação
62;MSCI All Countries;MXWD Index;15/02/2018;1687,03566
62;MSCI All Countries;MXWD Index;14/02/2018;1670,76209
62;MSCI All Countries;MXWD Index;13/02/2018;1674,9697
62;MSCI All Countries;MXWD Index;12/02/2018;1669,67478
62;MSCI All Countries;MXWD Index;09/02/2018;1658,70476
62;MSCI All Countries;MXWD Index;08/02/2018;1649,52025
62;MSCI All Countries;MXWD Index;07/02/2018;1679,25146
62;MSCI All Countries;MXWD Index;06/02/2018;1662,92994
62;MSCI All Countries;MXWD Index;05/02/2018;1672,26976
62;MSCI All Countries;MXWD Index;02/02/2018;1709,34187
62;MSCI All Countries;MXWD Index;01/02/2018;1717,09284
62;MSCI All Countries;MXWD Index;31/01/2018;1725,44613
62;MSCI All Countries;MXWD Index;30/01/2018;1722,28154
62;MSCI All Countries;MXWD Index;29/01/2018;1732,97806
62;MSCI All Countries;MXWD Index;26/01/2018;1732,06773
62;MSCI All Countries;MXWD Index;25/01/2018;1721,39826
62;MSCI All Countries;MXWD Index;24/01/2018;1736,35867
62;MSCI All Countries;MXWD Index;23/01/2018;1766,25246
62;MSCI All Countries;MXWD Index;22/01/2018;1737,68655
62;MSCI All Countries;MXWD Index;19/01/2018;1726,67517
62;MSCI All Countries;MXWD Index;18/01/2018;1723,24888
62;MSCI All Countries;MXWD Index;17/01/2018;1728,28751
62;MSCI All Countries;MXWD Index;16/01/2018;1724,89999
62;MSCI All Countries;MXWD Index;15/01/2018;1714,25806
62;MSCI All Countries;MXWD Index;12/01/2018;1711,68307
62;MSCI All Countries;MXWD Index;11/01/2018;1707,87886
62;MSCI All Countries;MXWD Index;10/01/2018;1705,66127
62;MSCI All Countries;MXWD Index;09/01/2018;1715,63024
62;MSCI All Countries;MXWD Index;08/01/2018;1705,08215
62;MSCI All Countries;MXWD Index;05/01/2018;1701,5105
62;MSCI All Countries;MXWD Index;04/01/2018;1688,82165
62;MSCI All Countries;MXWD Index;03/01/2018;1682,51291
62;MSCI All Countries;MXWD Index;02/01/2018;1684,00902
62;MSCI All Countries;MXWD Index;01/01/2018;1698,74387
62;MSCI All Countries;MXWD Index;29/12/2017;1699,24439
62;MSCI All Countries;MXWD Index;28/12/2017;1697,77073
62;MSCI All Countries;MXWD Index;27/12/2017;1695,79857
62;MSCI All Countries;MXWD Index;26/12/2017;1696,58616
62;MSCI All Countries;MXWD Index;25/12/2017;1707,43939
62;MSCI All Countries;MXWD Index;22/12/2017;1704,32109
62;MSCI All Countries;MXWD Index;21/12/2017;1691,88356
62;MSCI All Countries;MXWD Index;20/12/2017;1676,75802
62;MSCI All Countries;MXWD Index;19/12/2017;1682,48273
62;MSCI All Countries;MXWD Index;18/12/2017;1684,85595
62;MSCI All Countries;MXWD Index;15/12/2017;1678,28665
62;MSCI All Countries;MXWD Index;14/12/2017;1688,33916
62;MSCI All Countries;MXWD Index;13/12/2017;1679,83406
62;MSCI All Countries;MXWD Index;12/12/2017;1686,25247
62;MSCI All Countries;MXWD Index;11/12/2017;1670,01534
62;MSCI All Countries;MXWD Index;08/12/2017;1662,60212
62;MSCI All Countries;MXWD Index;07/12/2017;1649,9133
62;MSCI All Countries;MXWD Index;06/12/2017;1621,26959
62;MSCI All Countries;MXWD Index;05/12/2017;1625,23913
62;MSCI All Countries;MXWD Index;04/12/2017;1634,6118
62;MSCI All Countries;MXWD Index;01/12/2017;1638,04127
62;MSCI All Countries;MXWD Index;30/11/2017;1656,78964
62;MSCI All Countries;MXWD Index;29/11/2017;1634,5984
62;MSCI All Countries;MXWD Index;28/11/2017;1618,48893
62;MSCI All Countries;MXWD Index;27/11/2017;1617,10779
62;MSCI All Countries;MXWD Index;24/11/2017;1622,59519
62;MSCI All Countries;MXWD Index;23/11/2017;1617,28719
62;MSCI All Countries;MXWD Index;22/11/2017;1622,89244
62;MSCI All Countries;MXWD Index;21/11/2017;1624,75848
62;MSCI All Countries;MXWD Index;20/11/2017;1620,28319
62;MSCI All Countries;MXWD Index;17/11/2017;1618,45336
62;MSCI All Countries;MXWD Index;16/11/2017;1628,9503
62;MSCI All Countries;MXWD Index;15/11/2017;1634,17454
62;MSCI All Countries;MXWD Index;14/11/2017;1636,12577
62;MSCI All Countries;MXWD Index;13/11/2017;1637,16693
62;MSCI All Countries;MXWD Index;10/11/2017;1631,62511
62;MSCI All Countries;MXWD Index;09/11/2017;1624,84289
62;MSCI All Countries;MXWD Index;08/11/2017;1627,39153
62;MSCI All Countries;MXWD Index;07/11/2017;1637,46189
62;MSCI All Countries;MXWD Index;06/11/2017;1630,97936
62;MSCI All Countries;MXWD Index;03/11/2017;1648,877
62;MSCI All Countries;MXWD Index;02/11/2017;1628,19986
62;MSCI All Countries;MXWD Index;01/11/2017;1626,22238
62;MSCI All Countries;MXWD Index;31/10/2017;1628,43239
62;MSCI All Countries;MXWD Index;30/10/2017;1623,48856
62;MSCI All Countries;MXWD Index;27/10/2017;1618,92223
62;MSCI All Countries;MXWD Index;26/10/2017;1620,35269
62;MSCI All Countries;MXWD Index;25/10/2017;1601,89353
62;MSCI All Countries;MXWD Index;24/10/2017;1611,19559
62;MSCI All Countries;MXWD Index;23/10/2017;1591,49958
62;MSCI All Countries;MXWD Index;20/10/2017;1581,45814
62;MSCI All Countries;MXWD Index;19/10/2017;1574,02054
62;MSCI All Countries;MXWD Index;18/10/2017;1572,08799
62;MSCI All Countries;MXWD Index;17/10/2017;1571,26919
62;MSCI All Countries;MXWD Index;16/10/2017;1570,54313
62;MSCI All Countries;MXWD Index;13/10/2017;1563,28671
62;MSCI All Countries;MXWD Index;12/10/2017;1566,5778
62;MSCI All Countries;MXWD Index;11/10/2017;1564,16356
62;MSCI All Countries;MXWD Index;10/10/2017;1566,26545
62;MSCI All Countries;MXWD Index;09/10/2017;1563,15383
